furnizor,brand,cod_decor,cod_normalizat,denumire,structura,grosime_mm,dimensiuni,pret_ron,pret_mp_ron,stoc,tip,categorie,pricing_mode
Darel,Egger,W908 SM 16 MM,W908SM16MM,Alb Creta Semimat,SM,16,,264.59,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,W960 SM,W960SM,Alb Clasic Neted,SM,16,,269.88,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,W960 ST7,W960ST7,Alb Clasic,ST7,,,269.88,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,W960 ST7 - 10MM,W960ST710MM,Alb Clasic,ST7,10,,269.88,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,W960 SM neted,W960SMNETED,Alb Clasic Neted,SM,,,269.88,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U963 ST9,U963ST9,Gri Diamant,ST9,,,319.57,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U702 ST9,U702ST9,Gri Casmir,ST9,,,319.57,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U222 ST9,U222ST9,Bej Crem,ST9,,,319.57,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,W1000 ST9,W1000ST9,Alb Premium,ST9,,,319.57,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U999 ST7,U999ST7,Negru,ST7,,,336.39,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U515 ST9,U515ST9,Albastru Frantuzesc,ST9,,,360.0,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U961 ST7,U961ST7,Gri Grafit,ST7,,,369.37,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U104 ST9,U104ST9,Alabastru Alb,ST9,,,369.37,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U708 ST9,U708ST9,Gri Deschis,ST9,,,369.37,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U600 ST9,U600ST9,Verde Mai,ST9,,,370.0,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U732 ST9,U732ST9,Gri Praf,ST9,,,384.16,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U775 ST9,U775ST9,Gri Alb,ST9,,,384.16,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U156 ST9,U156ST9,Bej Nisip,ST9,,,384.16,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U216 ST9,U216ST9,Camel Bej,ST9,,,384.16,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U763 ST9,U763ST9,Gri Sidef,ST9,,,384.16,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U113 ST9,U113ST9,Bej Bumbac,ST9,,,384.16,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U899 ST9,U899ST9,Negru Fin,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U220 ST9,U220ST9,Bej Fin,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U748 ST9,U748ST9,Maro Trufa,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U740 ST9,U740ST9,Gri Inchis,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U707 ST9,U707ST9,Gri Matase,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U727 ST9,U727ST9,Gri Piatra,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U115 ST9,U115ST9,Bej Carat,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U750 ST9,U750ST9,Gri Taupe,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U960 ST9,U960ST9,Gri Onix,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U755 ST9,U755ST9,Gri Havana,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U968 ST9,U968ST9,Gri Carbune,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U788 ST9,U788ST9,Gri Artic,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U741 ST9,U741ST9,Gri Lava,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U780 ST9,U780ST9,Gri Monument,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U705 ST9,U705ST9,Gri Angora,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,W1100 ST9,W1100ST9,Alb Alpin,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U767 ST9,U767ST9,Gri Cubanit,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,W1200 ST9,W1200ST9,Alb Portelan,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U201 ST9,U201ST9,Gri Pietris,ST9,,,404.71,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U311 ST9,U311ST9,Rosu Burgund,ST9,,,449.82,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U669 ST9,U669ST9,Verde Cedru,ST9,,,449.82,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U321 ST9,U321ST9,Rosu China,ST9,,,449.82,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U504 ST9,U504ST9,Albastru Tirolez,ST9,,,449.82,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U525 ST9,U525ST9,Albastru Delft,ST9,,,449.82,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U211 ST9,U211ST9,Bej Migdala,ST9,,,449.82,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U250 ST9,U250ST9,Bej Caramel,ST9,,,449.82,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U325 ST9,U325ST9,Rose Antic,ST9,,,449.82,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U630 ST9,U630ST9,Verde Lamaie,ST9,,,449.82,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U540 ST9,U540ST9,Albastru Denim,ST9,,,449.82,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U323 ST9,U323ST9,Rosu Aprins,ST9,,,460.17,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U665 ST9,U665ST9,Verde Piatra,ST9,,,506.33,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U830 ST9,U830ST9,Caramel Nude,ST9,,,506.33,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U335 ST9,U335ST9,Rosu Ruginiu,ST9,,,506.33,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U636 ST9,U636ST9,Verde Fjord,ST9,,,506.33,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U999 ST19,U999ST19,Negru,ST19,,,506.33,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U125 ST9,U125ST9,Galben Nisip,ST9,,,506.33,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U599 ST9,U599ST9,Albastru Indigo,ST9,,,506.33,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U699 ST9,U699ST9,Verde Brad,ST9,,,506.33,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U818 ST9,U818ST9,Maro Inchis,ST9,,,506.33,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U350 ST9,U350ST9,Portocaliu Siena,ST9,,,506.33,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U638 ST9,U638ST9,Verde Salvie,ST9,,,506.33,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U163 ST9,U163ST9,Galben Curry,ST9,,,506.33,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U604 ST9,U604ST9,Verde Eucalipt,ST9,,,506.33,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U502 ST9,U502ST9,Albastru Gri,ST9,,,506.33,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,U998 ST38,U998ST38,Negru Fumuriu,ST38,,,656.3,,,produs,pal-melaminat-culori-uni,PER_SHEET
Darel,Egger,H1123 ST22,H1123ST22,Graphitwood,ST22,,,305.0,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3131 ST12,H3131ST12,Stejar Davos Natur,ST12,,,339.96,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1401 ST22,H1401ST22,Pin Cascina,ST22,,,339.96,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1318 ST10,H1318ST10,Stejar Salbatic Natur,ST10,,,339.98,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1145 ST10,H1145ST10,Stejar Bardolino Natur,ST10,,,369.37,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1732 ST9,H1732ST9,Mesteacan Nisip,ST9,,,369.37,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3734 ST9,H3734ST9,Nuc Dijon Natur,ST9,,,369.37,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1910 ST9,H1910ST9,Fag Willow,ST9,,,369.37,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3043 ST12,H3043ST12,Eucalipt Maro Inchis,ST12,,,369.37,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1151 ST10,H1151ST10,Stejar Arizona Maro,ST10,,,377.0,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1277 ST9,H1277ST9,Salcam Lakeland deschis,ST9,,,384.16,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3395 ST12,H3395ST12,Stejar Corbridge Natur,ST12,,,384.16,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3840 ST9,H3840ST9,Artar Mandal Natur,ST9,,,384.16,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1253 ST19,H1253ST19,Branson Robinia Maro Trufa,ST19,,,395.0,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3433 ST22,H3433ST22,Pin Aland Polar,ST22,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3303 ST10,H3303ST10,Stejar Hamilton Natur,ST10,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3860 ST9,H3860ST9,Artar Dur Champagne,ST9,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1708 ST17,H1708ST17,Castan Brighton,ST17,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3133 ST12,H3133ST12,Stejar Davos Maro Trufa,ST12,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1225 ST12,H1225ST12,Frasin Trondheim,ST12,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3157 ST12,H3157ST12,Stejar Vicenza,ST12,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3700 ST10,H3700ST10,Nuc Pacific Natur,ST10,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3450 ST22,H3450ST22,Fleetwood Alb,ST22,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1636 ST12,H1636ST12,Cires Locarno,ST12,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3322 ST17,H3322ST17,Stejar Rovato natur deschis,ST17,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1715 ST12,H1715ST12,Nuc Panora,ST12,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3430 ST22,H3430ST22,Pin Aland Alb,ST22,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1487 ST22,H1487ST22,Pin Bramberg,ST22,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1316 ST17,H1316ST17,Stejar Bookmatch,ST17,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1199 ST12,H1199ST12,Stejar Thermo Negru - Brun,ST12,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H1113 ST10,H1113ST10,Stejar Kansas Brun,ST10,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3702 ST10,H3702ST10,Nuc Pacific Tabac,ST10,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3156 ST12,H3156ST12,Stejar Cordbridge Gri,ST12,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
Darel,Egger,H3012 ST22,H3012ST22,Coco Bolo Natur,ST22,,,404.71,,,produs,pal-melaminat-decor-lemn,PER_SHEET
